token,occurrences,total_weight_toward_negative,mean_weight_toward_negative
process,4,-0.1857,-0.04641
achieved,1,-0.0466,-0.04658
the solution,2,-0.0936,-0.04679
opengl,1,-0.0468,-0.04682
sun,1,-0.0468,-0.04684
works pretty fine,1,-0.0471,-0.04709
provided,1,-0.0471,-0.0471
know you,3,-0.1414,-0.04715
built,3,-0.1415,-0.04717
dependency injection,1,-0.0473,-0.04729
add a,2,-0.0947,-0.04736
nothing to,1,-0.0474,-0.0474
to create an,1,-0.0474,-0.04741
or i,1,-0.0475,-0.04746
to some,1,-0.0475,-0.04753
instead of the,1,-0.0476,-0.04755
this on a,1,-0.0476,-0.04759
24,1,-0.0477,-0.04771
the mouse,1,-0.0477,-0.04774
i do it,1,-0.0477,-0.04774
with using,1,-0.0479,-0.04792
button that,1,-0.0479,-0.04794
the keyboard,1,-0.048,-0.04803
be very,2,-0.0963,-0.04814
how did,1,-0.0483,-0.04828
my application,1,-0.0483,-0.0483
am trying,1,-0.0483,-0.04831
configuration,1,-0.0483,-0.04833
to sql injection,1,-0.0483,-0.04833
vulnerable,1,-0.0483,-0.04833
vulnerable to,1,-0.0483,-0.04833
vulnerable to sql,1,-0.0483,-0.04833
difference between,1,-0.0483,-0.04834
language,2,-0.097,-0.04848
try out,1,-0.0485,-0.04849
simple,5,-0.2427,-0.04853
out of,1,-0.0486,-0.04863
class name,1,-0.0486,-0.04864
traffic,1,-0.0487,-0.04873
having to,1,-0.0487,-0.04875
really like,1,-0.0487,-0.04875
doing it,1,-0.0488,-0.04876
utf,1,-0.0488,-0.0488
compile,1,-0.0489,-0.04889
picked,1,-0.049,-0.04896
really worried about,2,-0.0979,-0.04896
so you,1,-0.0491,-0.04913
to reference,1,-0.0492,-0.04919
reasonably,1,-0.0492,-0.04922
expand,2,-0.0985,-0.04923
connect to it,1,-0.0492,-0.04923
not think,1,-0.0493,-0.04929
do not think,1,-0.0493,-0.04929
kind of,3,-0.148,-0.04934
be,37,-1.8281,-0.04941
date,1,-0.0494,-0.04942
can find,1,-0.0496,-0.0496
but in,1,-0.0496,-0.0496
around the,1,-0.0496,-0.04964
are they,1,-0.0498,-0.04979
to mention,1,-0.0498,-0.0498
see other,1,-0.0501,-0.05012
if i understand,1,-0.0501,-0.05014
or otherwise,1,-0.0502,-0.05016
how ?,1,-0.0502,-0.05017
objects in,1,-0.0502,-0.05023
for python,1,-0.0502,-0.05023
possible ?,1,-0.0502,-0.05023
a table,1,-0.0503,-0.05028
anything,4,-0.2011,-0.05028
another option,1,-0.0504,-0.05037
i have the,1,-0.0504,-0.05041
appropriate,3,-0.1516,-0.05052
already,3,-0.1516,-0.05053
big,1,-0.0505,-0.05053
s excellent,1,-0.0507,-0.05067
are looking for,1,-0.0507,-0.05073
all !,1,-0.0509,-0.05085
private,1,-0.0509,-0.05089
want a,1,-0.0509,-0.05091
with an,1,-0.051,-0.05096
reports,1,-0.051,-0.05099
you can find,1,-0.051,-0.05104
value,1,-0.0511,-0.05109
that much,1,-0.0511,-0.05111
couple,1,-0.0512,-0.05119
should i,3,-0.1536,-0.05119
after,3,-0.1545,-0.0515
anyone knows of,1,-0.0517,-0.05165
knows of,1,-0.0517,-0.05165
s just a,1,-0.0518,-0.0518
that worked,1,-0.0519,-0.05193
an oracle,1,-0.052,-0.05201
numeric,1,-0.0521,-0.05215
do i make,1,-0.0522,-0.05218
dbml,1,-0.0522,-0.05218
a function that,1,-0.0523,-0.05226
package,2,-0.1045,-0.05227
d like to,2,-0.1047,-0.05233
objects,5,-0.2618,-0.05235
if yes,1,-0.0524,-0.0524
if yes how,1,-0.0524,-0.0524
yes how,1,-0.0524,-0.0524
would like to,2,-0.1049,-0.05244
read the,1,-0.0525,-0.05246
missing,3,-0.1576,-0.05253
can do this,1,-0.0527,-0.05265
forgot,2,-0.1054,-0.05271
when we,1,-0.0527,-0.05271
possible duplicate of,1,-0.0527,-0.05273
possible duplicate,1,-0.0527,-0.05273
the string,2,-0.1055,-0.05274
recent,1,-0.0528,-0.05278
table with,1,-0.0528,-0.05278
to make sure,1,-0.0528,-0.05279
or use,1,-0.0529,-0.05291
the new,1,-0.0531,-0.0531
is generally,1,-0.0532,-0.05317
block,1,-0.0532,-0.05317
it out,1,-0.0532,-0.05318
configured,1,-0.0532,-0.0532
of it,2,-0.1065,-0.05325
sql injection,1,-0.0534,-0.05336
without having,1,-0.0534,-0.05338
of data,2,-0.1069,-0.05343
can also,4,-0.2143,-0.05359
smaller,1,-0.0536,-0.05364
function that,1,-0.0536,-0.05364
make this,1,-0.0537,-0.05373
what,34,-1.8274,-0.05375
not get,1,-0.0538,-0.0538
by,9,-0.4848,-0.05386
get the current,1,-0.0539,-0.0539
would be,8,-0.4313,-0.05392
stand,1,-0.054,-0.05398
a virtual,1,-0.0541,-0.05413
the output,2,-0.1084,-0.05419
scope,2,-0.1084,-0.05419
wikipedia,1,-0.0543,-0.0543
talking,5,-0.2716,-0.05431
the url,1,-0.0544,-0.05438
content,3,-0.1636,-0.05453
cannot,4,-0.2182,-0.05455
say you,1,-0.0546,-0.05455
a non,1,-0.0546,-0.05458
follow the,1,-0.0547,-0.05472
number,4,-0.2195,-0.05487
worrying about,1,-0.0551,-0.05506
at the moment,1,-0.0551,-0.05508
did,7,-0.3856,-0.05509
unknown,1,-0.0552,-0.05516
i think you,1,-0.0552,-0.0552
ui,1,-0.0553,-0.0553
top,3,-0.1659,-0.0553
it s not,1,-0.0555,-0.05553
my answer,1,-0.0556,-0.05559
instead,8,-0.4451,-0.05563
d like,2,-0.1114,-0.05568
linked,1,-0.0558,-0.05584
managed code,1,-0.0559,-0.05587
if the,4,-0.2237,-0.05591
my css,1,-0.056,-0.05602
he,1,-0.056,-0.05604
another,3,-0.1682,-0.05606
suffer,1,-0.0562,-0.05622
objective c,1,-0.0566,-0.05657
really worried,4,-0.2265,-0.05663
replace,2,-0.1135,-0.05675
for your,1,-0.0568,-0.05685
the difference between,1,-0.0569,-0.05689
solution i,1,-0.0571,-0.05714
get you started,1,-0.0574,-0.05738
development,1,-0.0576,-0.05755
be desirable,1,-0.0575,-0.05755
public,1,-0.0576,-0.05757
of things,1,-0.0577,-0.05766
that i can,1,-0.0577,-0.05768
link,3,-0.1731,-0.05769
performance difference,1,-0.0577,-0.05772
installed,2,-0.1156,-0.05781
an,40,-2.3127,-0.05782
null,2,-0.1157,-0.05785
to create a,3,-0.1736,-0.05786
any tools,1,-0.0579,-0.05791
i ve just,1,-0.0579,-0.05793
ve just,1,-0.0579,-0.05793
might,3,-0.1744,-0.05812
do not have,2,-0.1163,-0.05816
there is,7,-0.4072,-0.05817
just the,1,-0.0582,-0.05823
the net,1,-0.0583,-0.05826
essentially,1,-0.0585,-0.05848
i hope,1,-0.0585,-0.05854
might be a,1,-0.0585,-0.05854
this in,1,-0.0586,-0.05858
one is,2,-0.1172,-0.05859
how much,2,-0.1172,-0.05862
via,1,-0.0586,-0.05863
in this,1,-0.0588,-0.05878
use,30,-1.7634,-0.05878
shortcut,1,-0.0588,-0.05879
memory,5,-0.2941,-0.05881
particularly,1,-0.059,-0.05898
sample,2,-0.118,-0.059
probability,1,-0.0591,-0.05908
the moment,1,-0.0592,-0.05921
not support,1,-0.0592,-0.05921
robots,1,-0.0592,-0.05923
moved,1,-0.0592,-0.05923
series,1,-0.0592,-0.05925
to start,1,-0.0592,-0.05925
you manage,1,-0.0593,-0.0593
or more,1,-0.0594,-0.05939
yet ?,1,-0.0597,-0.05965
scroll to,1,-0.0598,-0.05981
has no,1,-0.06,-0.05996
without,8,-0.4803,-0.06004
rid of,1,-0.0604,-0.06038
rid,1,-0.0604,-0.06038
sure if this,2,-0.1208,-0.06042
too,7,-0.4232,-0.06045
number is,1,-0.0605,-0.06048
false,1,-0.0606,-0.0606
problem and,1,-0.0609,-0.06087
depends,2,-0.1219,-0.06096
do not get,1,-0.0616,-0.06165
used,6,-0.3703,-0.06171
works ?,1,-0.0617,-0.06173
are no,2,-0.1235,-0.06174
know how to,1,-0.0618,-0.06179
in all,1,-0.0618,-0.0618
based,1,-0.0619,-0.06188
also be,1,-0.0621,-0.06205
to write,1,-0.0621,-0.06214
i have tried,1,-0.0622,-0.06216
them,11,-0.6841,-0.06219
comma,1,-0.0625,-0.06247
know if,1,-0.0626,-0.06261
get you,1,-0.0627,-0.06274
object,2,-0.1257,-0.06285
the relevant,1,-0.063,-0.06302
using to,1,-0.0631,-0.06305
you should use,1,-0.0632,-0.06318
to just,1,-0.0632,-0.06323
if you,16,-1.0123,-0.06327
all the,4,-0.2532,-0.0633
to print,1,-0.0633,-0.06334
none,1,-0.0634,-0.06335
moment,1,-0.0634,-0.06342
enterprise,1,-0.0637,-0.06366
as simple,1,-0.0638,-0.06379
as simple as,1,-0.0638,-0.06379
simple as,1,-0.0638,-0.06379
part of,2,-0.1279,-0.06397
it does not,2,-0.128,-0.06398
to do this,4,-0.2561,-0.06403
in visual,1,-0.064,-0.06405
in visual studio,1,-0.064,-0.06405
because they,1,-0.0641,-0.06408
visible,1,-0.0641,-0.06413
how,26,-1.6687,-0.06418
fair,1,-0.0642,-0.06418
your question,1,-0.0643,-0.06433
used to,1,-0.0644,-0.06443
the time,2,-0.1289,-0.06446
the result,3,-0.1935,-0.06449
to connect,1,-0.0645,-0.0645
type the,1,-0.0649,-0.06494
would look,1,-0.065,-0.06495
clustered,1,-0.065,-0.06495
path,1,-0.0651,-0.06514
numbers,2,-0.1303,-0.06517
encoding,1,-0.0654,-0.06542
a javascript,2,-0.1309,-0.06543
in web,1,-0.0655,-0.06547
the thing,1,-0.0655,-0.06554
matter,4,-0.2624,-0.06559
prevent,1,-0.0656,-0.06562
the app,2,-0.1314,-0.06572
copy the,1,-0.0658,-0.06579
would,23,-1.5161,-0.06592
i understand,1,-0.066,-0.06597
strip,1,-0.066,-0.06602
native,1,-0.0661,-0.06606
this can,1,-0.0662,-0.06616
USER why,1,-0.0663,-0.06631
we can,1,-0.0665,-0.06647
anyone knows,1,-0.0665,-0.06652
create an,1,-0.0666,-0.06663
on windows,1,-0.0668,-0.06676
minutes,1,-0.0668,-0.06684
is your,1,-0.0669,-0.06687
on how,1,-0.0669,-0.0669
connections,3,-0.201,-0.06701
what do you,1,-0.0671,-0.06708
if,39,-2.6167,-0.06709
exactly,2,-0.1353,-0.06763
you,90,-6.1041,-0.06782
it possible to,2,-0.1358,-0.06789
filter in,1,-0.068,-0.06799
are really worried,2,-0.1364,-0.06819
an answer,3,-0.2046,-0.0682
works pretty,1,-0.0683,-0.06827
i would like,2,-0.1366,-0.06829
create a,5,-0.3418,-0.06836
specifically,2,-0.137,-0.06852
into your,2,-0.1372,-0.06858
for in,1,-0.0686,-0.06863
point,4,-0.2748,-0.0687
this class,1,-0.0689,-0.06892
amazing,1,-0.0689,-0.06892
usually,1,-0.069,-0.06895
add,9,-0.6214,-0.06904
ve used,1,-0.0692,-0.06918
i ve used,1,-0.0692,-0.06918
called,1,-0.0692,-0.06922
comes,1,-0.0692,-0.06924
able to,4,-0.2771,-0.06928
sql server ?,1,-0.0693,-0.06934
allocated,1,-0.0694,-0.06944
should use,1,-0.0697,-0.06975
not need to,3,-0.2093,-0.06976
the file,4,-0.2791,-0.06977
would do,1,-0.0698,-0.06985
along,1,-0.0699,-0.06989
USER can,1,-0.0701,-0.07008
where i,2,-0.1406,-0.07029
known,2,-0.1411,-0.07053
not as,1,-0.0706,-0.07057
will be,5,-0.3534,-0.07068
keep,3,-0.2127,-0.07089
it with,3,-0.2131,-0.07104
the xml,1,-0.0712,-0.07119
frameworks,1,-0.0714,-0.07142
about your,1,-0.0715,-0.07148
ability to,1,-0.0716,-0.07164
ability,1,-0.0716,-0.07164
keyboard,1,-0.0717,-0.07169
in my,3,-0.2153,-0.07175
? also,1,-0.0718,-0.07181
seem,3,-0.2156,-0.07187
be used,1,-0.0719,-0.07192
of java,1,-0.0721,-0.07213
has an,1,-0.0722,-0.07217
events,2,-0.1451,-0.07254
only want,1,-0.0726,-0.07259
what the,1,-0.0727,-0.07273
mysql,1,-0.0728,-0.07278
action,3,-0.2186,-0.07286
other,9,-0.6558,-0.07287
in c,2,-0.1465,-0.07324
what is the,1,-0.0732,-0.07324
if anyone,1,-0.0733,-0.07326
s CODE,1,-0.0733,-0.07327
also,14,-1.0259,-0.07328
above,1,-0.0734,-0.07337
using for,1,-0.0734,-0.07341
you get the,1,-0.0735,-0.07351
URL in,1,-0.0736,-0.07356
execute,2,-0.1472,-0.07362
you could,1,-0.0737,-0.07373
really should,2,-0.1476,-0.07382
you said,1,-0.0739,-0.07386
this regex,1,-0.0739,-0.07387
USER the,2,-0.1478,-0.07392
get a,1,-0.0741,-0.07407
net,8,-0.5929,-0.07411
a way of,1,-0.0741,-0.07413
but most,1,-0.0744,-0.07437
worry about the,2,-0.1488,-0.07442
of how to,1,-0.0746,-0.07463
you started,1,-0.0746,-0.07464
worry about it,1,-0.0747,-0.0747
etc,6,-0.4485,-0.07474
to create,6,-0.4491,-0.07485
release,2,-0.1497,-0.07485
first,5,-0.3744,-0.07487
perhaps ?,1,-0.0749,-0.0749
pretty fine,1,-0.075,-0.075
able,5,-0.375,-0.075
follow,1,-0.0751,-0.07507
8,3,-0.2252,-0.07507
seek,1,-0.0751,-0.07512
splint,1,-0.0752,-0.07515
is an old,1,-0.0753,-0.07528
project,4,-0.3022,-0.07555
is all,1,-0.0757,-0.07569
on rails,1,-0.0757,-0.07574
may,4,-0.3035,-0.07587
other than,1,-0.0759,-0.07588
how can,7,-0.5327,-0.0761
dll s,1,-0.0761,-0.07615
explorer,1,-0.0762,-0.0762
something like this,1,-0.0763,-0.07628
i can use,1,-0.0764,-0.07638
to let,1,-0.0764,-0.07644
terminates,1,-0.0765,-0.07646
they are,2,-0.153,-0.07648
implementing,1,-0.0765,-0.07649
i think the,1,-0.0769,-0.07691
write to,1,-0.0769,-0.07693
to enter,1,-0.0769,-0.07693
stack,1,-0.077,-0.07702
i try,1,-0.0771,-0.07706
editor,2,-0.1541,-0.07706
be really,2,-0.1543,-0.07714
own,2,-0.1546,-0.07731
index,1,-0.0776,-0.07759
recommend,3,-0.2348,-0.07827
for that,1,-0.0786,-0.07862
confirm,1,-0.0788,-0.07878
looking for a,1,-0.079,-0.07896
images,1,-0.0791,-0.07905
desirable,4,-0.3163,-0.07907
is an,4,-0.3168,-0.07919
way to do,2,-0.1584,-0.0792
correct,1,-0.0792,-0.07923
columns,2,-0.159,-0.07951
set in,1,-0.0795,-0.07952
format,2,-0.1591,-0.07953
authentication,1,-0.0797,-0.07969
to visual,1,-0.0799,-0.07991
to visual studio,1,-0.0799,-0.07991
which one,1,-0.08,-0.07999
limitations,1,-0.08,-0.08
the simplest,1,-0.0801,-0.08015
simplest,1,-0.0801,-0.08015
examples,1,-0.0802,-0.08018
chat,1,-0.0802,-0.08025
to you,1,-0.0803,-0.0803
code the,1,-0.0804,-0.08036
stackoverflow,1,-0.0804,-0.08042
definitely,3,-0.2414,-0.08047
a file,3,-0.2417,-0.08057
not have to,2,-0.1613,-0.08067
can do,1,-0.0808,-0.08081
not want to,1,-0.0809,-0.08085
injection,2,-0.1617,-0.08087
enter,1,-0.081,-0.08095
requests,2,-0.1622,-0.08109
maximum,2,-0.1623,-0.08116
like to,5,-0.4059,-0.08119
look into,1,-0.0815,-0.08147
but i would,1,-0.0815,-0.08153
the current,2,-0.1635,-0.08175
any,17,-1.3908,-0.08181
is excellent,1,-0.0819,-0.08193
comment,1,-0.082,-0.08196
to point,1,-0.082,-0.082
to be able,2,-0.1642,-0.08212
part,3,-0.2465,-0.08218
you do,7,-0.5753,-0.08219
as the,5,-0.4117,-0.08235
better,7,-0.577,-0.08242
similar,4,-0.3297,-0.08244
port,2,-0.1651,-0.08257
1 ?,1,-0.0827,-0.08265
xml,6,-0.4972,-0.08287
glut,1,-0.0833,-0.08325
think it,1,-0.0833,-0.08334
program,2,-0.1667,-0.08337
have an,1,-0.0836,-0.08355
rely on,1,-0.0836,-0.08357
rewrite,1,-0.0837,-0.08372
internet explorer,1,-0.0837,-0.08374
similar question,1,-0.0839,-0.08386
recently,1,-0.0846,-0.08455
its own,1,-0.0847,-0.08466
is what i,1,-0.0853,-0.08525
answer ?,1,-0.0853,-0.08526
i think,6,-0.5123,-0.08538
buttons,1,-0.0854,-0.08542
it works,1,-0.0855,-0.0855
functionality,1,-0.0857,-0.08573
to the file,1,-0.0859,-0.08585
view is,1,-0.086,-0.08597
allows,2,-0.172,-0.08599
and i ll,1,-0.086,-0.08604
knows,1,-0.0861,-0.08612
i wrote,1,-0.0862,-0.08625
mention,1,-0.0863,-0.08627
price,1,-0.0866,-0.08657
is there a,7,-0.607,-0.08672
what was,2,-0.1735,-0.08676
easy to,2,-0.1738,-0.0869
binary,1,-0.0869,-0.08694
do you mean,1,-0.0871,-0.08713
are you,3,-0.2616,-0.08719
to parse,1,-0.0878,-0.08777
expect,3,-0.2633,-0.08777
alias,1,-0.0884,-0.08838
how would you,1,-0.0885,-0.08851
use it,1,-0.0887,-0.08871
a list of,2,-0.1779,-0.08893
this could,1,-0.0891,-0.08912
option,4,-0.3569,-0.08922
use this,2,-0.1785,-0.08925
? i am,1,-0.0896,-0.08964
if you are,4,-0.359,-0.08975
to replace,1,-0.0898,-0.08977
has a,2,-0.18,-0.09001
think the,1,-0.0905,-0.09047
engine,1,-0.0908,-0.0908
for,48,-4.3665,-0.09097
equivalent,2,-0.1821,-0.09103
0,4,-0.365,-0.09124
some,14,-1.279,-0.09136
adding a,1,-0.0914,-0.09141
manage,1,-0.0914,-0.09143
update,1,-0.0915,-0.09147
should,22,-2.0169,-0.09168
worry about,8,-0.7335,-0.09169
arrays,1,-0.0918,-0.09177
of these,1,-0.092,-0.09205
below,1,-0.0923,-0.09232
filter,1,-0.0924,-0.09236
codeplex,1,-0.0924,-0.09243
caching,1,-0.0925,-0.09246
you are really,2,-0.1849,-0.09247
linq,1,-0.0928,-0.09284
especially,1,-0.0931,-0.09307
implementation,2,-0.1863,-0.09314
check out the,1,-0.0932,-0.09325
3 0,1,-0.0942,-0.09416
for it,1,-0.0942,-0.09417
w,1,-0.0943,-0.09428
consider,2,-0.1886,-0.0943
how do you,2,-0.1889,-0.09444
approach,2,-0.1896,-0.0948
the search,2,-0.1897,-0.09486
column,3,-0.2849,-0.09495
into,9,-0.855,-0.095
if someone,1,-0.0955,-0.09554
advance,1,-0.0959,-0.09588
i m using,4,-0.3837,-0.09593
m using,4,-0.3837,-0.09593
layer,1,-0.096,-0.09595
it s free,1,-0.096,-0.09598
s free,1,-0.096,-0.09598
with great,1,-0.096,-0.09604
have is,1,-0.0962,-0.09623
nope,1,-0.0965,-0.09655
software,3,-0.2898,-0.0966
non,5,-0.4848,-0.09696
with great success,1,-0.097,-0.09699
you can use,4,-0.3887,-0.09718
check,1,-0.0972,-0.09722
was just,2,-0.1947,-0.09734
btw,2,-0.1949,-0.09745
is there,12,-1.1702,-0.09751
this will,2,-0.1952,-0.09761
service,1,-0.098,-0.09795
is actually,1,-0.0984,-0.09839
just a,4,-0.3954,-0.09884
think you,2,-0.198,-0.09901
high,2,-0.1982,-0.09909
otherwise,1,-0.0991,-0.09913
something like,1,-0.0992,-0.09917
give,1,-0.0992,-0.09922
dealing with,1,-0.0996,-0.09957
dealing,1,-0.0996,-0.09957
built in,2,-0.1995,-0.09974
output,5,-0.5003,-0.10005
to worry about,6,-0.6025,-0.10042
documented,1,-0.1004,-0.10043
is the right,1,-0.1005,-0.10051
worries,3,-0.302,-0.10067
elements,2,-0.2018,-0.10092
wondering,1,-0.1013,-0.10131
criteria,1,-0.1014,-0.10135
issue,3,-0.3049,-0.10162
things,3,-0.3053,-0.10176
th,1,-0.1018,-0.10177
can i get,1,-0.1019,-0.10185
helpers,1,-0.1019,-0.10192
a c,1,-0.102,-0.10203
available,2,-0.2048,-0.10242
without worrying about,1,-0.1025,-0.10255
without worrying,1,-0.1025,-0.10255
the database,3,-0.3079,-0.10264
pop,2,-0.2063,-0.10315
it more,1,-0.1034,-0.10339
switch,1,-0.1034,-0.10342
play,1,-0.1036,-0.10361
following,5,-0.519,-0.1038
info,3,-0.3134,-0.10448
do the,3,-0.3141,-0.10468
how would,1,-0.1049,-0.10489
into a,1,-0.105,-0.10503
for the,10,-1.0516,-0.10516
how to add,1,-0.1056,-0.10555
through the,2,-0.2118,-0.10588
i have,9,-0.9544,-0.10604
! i,1,-0.1061,-0.10611
locale,1,-0.1063,-0.10634
event,2,-0.213,-0.10649
talking about,5,-0.5338,-0.10675
is my,1,-0.1074,-0.10744
you want a,1,-0.1075,-0.10754
combination,2,-0.2156,-0.10781
you go,2,-0.2159,-0.10795
the extra,1,-0.1084,-0.10835
take a look,2,-0.2172,-0.10859
for me,3,-0.3263,-0.10877
make it,3,-0.3266,-0.10885
json,1,-0.1093,-0.10928
general,1,-0.1094,-0.10936
dll,3,-0.3301,-0.11002
bind,1,-0.1101,-0.11005
document,2,-0.222,-0.111
like this,3,-0.333,-0.11101
generally,1,-0.1112,-0.11117
so why,1,-0.1114,-0.11135
2,6,-0.6716,-0.11193
does not the,1,-0.1122,-0.11216
there some,1,-0.1123,-0.11234
ant,1,-0.1127,-0.11273
how can i,6,-0.6767,-0.11278
you re really,1,-0.1129,-0.11293
re really,1,-0.1129,-0.11293
re really worried,1,-0.1129,-0.11293
support,1,-0.113,-0.113
net framework,1,-0.1132,-0.11323
will find,1,-0.1135,-0.11348
we re,1,-0.1135,-0.11352
what is,4,-0.4546,-0.11365
describes,1,-0.1142,-0.11419
any difference,1,-0.1146,-0.1146
actually,2,-0.2294,-0.11471
may be,1,-0.1153,-0.11535
is there some,1,-0.1157,-0.11572
have to worry,2,-0.232,-0.11601
for a,5,-0.5808,-0.11616
about it,2,-0.2327,-0.11636
the question is,3,-0.3497,-0.11655
rails,3,-0.3502,-0.11673
s not,1,-0.1169,-0.11689
method,5,-0.5861,-0.11721
virtual,1,-0.1172,-0.11723
list of,2,-0.2345,-0.11726
oracle,3,-0.3522,-0.11739
vpn,1,-0.1176,-0.11765
? URL,2,-0.2354,-0.11769
on your,3,-0.3538,-0.11793
exe,2,-0.2364,-0.11821
use that,1,-0.1183,-0.11827
with your,2,-0.2367,-0.11834
please,2,-0.2369,-0.11845
compare,1,-0.1192,-0.11921
search,2,-0.2414,-0.12071
coding,1,-0.121,-0.12105
meant,1,-0.1213,-0.12127
return,4,-0.4884,-0.1221
platform,2,-0.2447,-0.12236
great success,1,-0.1225,-0.12247
saying,1,-0.1227,-0.12274
options,1,-0.123,-0.12303
take a,2,-0.2463,-0.12314
directly,2,-0.2473,-0.12365
plugin,1,-0.1237,-0.12373
backup,1,-0.1237,-0.12374
i would,6,-0.7449,-0.12415
have not,1,-0.1242,-0.12419
edited,1,-0.1255,-0.1255
give me,1,-0.1262,-0.12624
in that,2,-0.2529,-0.12645
said,4,-0.5064,-0.1266
came,1,-0.1268,-0.12683
uiview,1,-0.1271,-0.12705
your,35,-4.4584,-0.12738
box,3,-0.3853,-0.12844
clr,1,-0.1293,-0.1293
looking for,4,-0.5174,-0.12934
someone,3,-0.3916,-0.13052
you cannot,2,-0.2638,-0.13189
py,2,-0.264,-0.13198
do it,4,-0.5289,-0.13224
i have not,1,-0.1334,-0.13335
driven,1,-0.1335,-0.13347
job,2,-0.2673,-0.13364
work in,2,-0.2673,-0.13365
free,4,-0.5347,-0.13367
naming,1,-0.1339,-0.13386
you do not,6,-0.8084,-0.13473
the db,1,-0.1349,-0.13494
is for,2,-0.27,-0.135
not to,2,-0.2702,-0.13508
java,3,-0.4061,-0.13536
that the,3,-0.4073,-0.13577
for this,1,-0.1373,-0.13734
have a look,1,-0.1375,-0.13747
number of,2,-0.2784,-0.1392
this works,1,-0.1395,-0.13955
started,2,-0.2797,-0.13984
rely,1,-0.1399,-0.13986
you using,2,-0.2817,-0.14083
are you using,2,-0.2817,-0.14083
want to use,2,-0.2817,-0.14085
are some,1,-0.1417,-0.14166
no there is,1,-0.143,-0.14302
no there,1,-0.143,-0.14302
mark,1,-0.1443,-0.1443
choice,1,-0.1459,-0.14586
afraid to,1,-0.1473,-0.14727
a look at,2,-0.2962,-0.14808
1,7,-1.0401,-0.14858
child,2,-0.2991,-0.14955
table,5,-0.748,-0.14959
that was,1,-0.1505,-0.1505
is an excellent,1,-0.1511,-0.15108
network,1,-0.1517,-0.1517
your answer,2,-0.3036,-0.1518
under,3,-0.4562,-0.15208
you could do,1,-0.1525,-0.15254
as of,1,-0.1533,-0.15328
answer,7,-1.0747,-0.15353
and CODE,1,-0.1552,-0.1552
following code,1,-0.1559,-0.1559
success,2,-0.3119,-0.15596
list,3,-0.4689,-0.15629
hope,1,-0.1566,-0.15658
run it,1,-0.1573,-0.15726
new,8,-1.2704,-0.1588
ioc,3,-0.4803,-0.16011
you know,2,-0.3204,-0.16022
it s possible,1,-0.1603,-0.16034
s possible,1,-0.1603,-0.16034
sharepoint,2,-0.3214,-0.16071
perhaps,1,-0.1612,-0.16121
easy,2,-0.3229,-0.16146
a general,1,-0.163,-0.16297
this on,2,-0.326,-0.16302
download,1,-0.1631,-0.16306
custom,1,-0.1642,-0.1642
library,4,-0.6625,-0.16562
do i,1,-0.1659,-0.16594
2010,1,-0.1661,-0.1661
00,1,-0.1667,-0.1667
i said,1,-0.1668,-0.1668
solution,6,-1.0017,-0.16694
api,4,-0.6697,-0.16743
commercial,1,-0.1675,-0.16752
worry,9,-1.5085,-0.16761
out the,2,-0.3354,-0.16769
it comes,1,-0.168,-0.16797
an idea,1,-0.168,-0.16803
good,2,-0.3376,-0.16878
existing,1,-0.1696,-0.16958
or any,1,-0.17,-0.17
for ?,2,-0.3403,-0.17013
no worries,1,-0.171,-0.17097
look at,4,-0.6851,-0.17128
environment,2,-0.343,-0.1715
create,8,-1.3777,-0.17222
end,4,-0.6932,-0.1733
to worry,7,-1.2156,-0.17366
help,3,-0.5216,-0.17386
directory,1,-0.1739,-0.1739
framework,4,-0.6983,-0.17458
did not work,1,-0.1756,-0.17556
appropriately,1,-0.1768,-0.17684
that a,2,-0.3554,-0.17769
files,3,-0.5372,-0.17906
use a,1,-0.1805,-0.18049
after the,1,-0.1811,-0.18106
perl,1,-0.1822,-0.18222
email,2,-0.3684,-0.18422
question,14,-2.5828,-0.18449
can use,5,-0.9312,-0.18625
were,2,-0.3739,-0.18693
question i,1,-0.1873,-0.18726
do this in,1,-0.1918,-0.19176
php,5,-0.9619,-0.19238
you can,14,-2.7122,-0.19373
so i have,1,-0.1947,-0.19474
try,10,-1.9565,-0.19565
agree,1,-0.1995,-0.19945
there is a,1,-0.2012,-0.20119
thanks,1,-0.2024,-0.2024
winforms,1,-0.2029,-0.20289
like,11,-2.2357,-0.20324
root,2,-0.4093,-0.20463
find a,1,-0.2067,-0.20674
quotes,1,-0.2081,-0.20806
CODE ?,2,-0.4237,-0.21185
have you,1,-0.212,-0.21197
lets,1,-0.2124,-0.2124
a look,3,-0.6378,-0.2126
an excellent,2,-0.4298,-0.2149
anonymous,1,-0.2151,-0.21507
check out,1,-0.2184,-0.21837
expression,1,-0.2187,-0.21868
nice,1,-0.2224,-0.2224
how to,5,-1.1143,-0.22285
article,2,-0.4496,-0.22482
added,1,-0.232,-0.23197
solution ?,1,-0.2367,-0.23671
url,4,-0.9509,-0.23773
works,7,-1.6752,-0.23931
preferred,1,-0.2409,-0.24093
css,1,-0.2509,-0.25086
you hate,1,-0.2624,-0.26241
gc,1,-0.2744,-0.27439
safari,1,-0.2839,-0.28391
worked for,2,-0.5681,-0.28406
behaviour,1,-0.2975,-0.29755
quick,1,-0.3111,-0.31105
fine,1,-0.3187,-0.31874
inheritance,1,-0.3304,-0.33036
worked,3,-1.0108,-0.33694
